<Sum> [stat]player_ammo_restored  = 16444
<Sum> [class]Recon [item_type]hmg02_shop [stat]player_wpn_usage  = 1238
<Sum> [class]Recon [item_type]sr45_shop [stat]player_wpn_usage  = 1167
<Sum> [class]Recon [item_type]smg52_shop [stat]player_wpn_usage  = 1532
<Sum> [class]Recon [item_type]kn04_shop [stat]player_wpn_usage  = 10
<Sum> [class]Recon [item_type]shg50_shop [stat]player_wpn_usage  = 1256
<Sum> [class]Recon [item_type]ar35_shop [stat]player_wpn_usage  = 1179
<Sum> [class]Rifleman [item_type]ar27_camo08_shop [stat]player_wpn_usage  = 216683
<Sum> [class]Engineer [item_type]kn03_xmas [stat]player_wpn_usage  = 76
<Sum> [class]Rifleman [item_type]ar23_gold01_shop [stat]player_wpn_usage  = 83989
<Sum> [class]Medic [item_type]shg47_joker02_shop [stat]player_wpn_usage  = 17917
<Sum> [class]Medic [item_type]shg15_shop [stat]player_wpn_usage  = 9991
<Sum> [class]Medic [item_type]pt66_shop [stat]player_wpn_usage  = 306
<Sum> [class]Recon [item_type]ar30_shop [stat]player_wpn_usage  = 212
<Sum> [class]Rifleman [item_type]ar31_shop [stat]player_wpn_usage  = 286788
<Sum> [class]Rifleman [item_type]pt33_shop [stat]player_wpn_usage  = 10027
<Sum> [class]Rifleman [item_type]mg07_shop [stat]player_wpn_usage  = 197851
<Sum> [class]Recon [item_type]ar23_shop [stat]player_wpn_usage  = 127
<Sum> [class]Rifleman [item_type]smokegrenade_c [stat]player_wpn_usage  = 1201
<Sum> [class]Rifleman [item_type]kn19 [stat]player_wpn_usage  = 22427
<Sum> [class]Medic [item_type]shg35_shop [stat]player_wpn_usage  = 521624
<Sum> [class]Recon [item_type]kn19 [stat]player_wpn_usage  = 56236
<Sum> [class]Medic [item_type]kn19 [stat]player_wpn_usage  = 262823
<Sum> [class]Engineer [item_type]kn19 [stat]player_wpn_usage  = 135222
<Sum> [class]Recon [item_type]shg37_ice01_shop [stat]player_wpn_usage  = 59
<Sum> [class]Recon [item_type]shg08_shop [stat]player_wpn_usage  = 136
<Sum> [class]Engineer [item_type]smg17_shop [stat]player_wpn_usage  = 34088
<Sum> [class]Medic [item_type]shg15_camo02_shop [stat]player_wpn_usage  = 65070
<Sum> [class]Recon [item_type]smokegrenade_c [stat]player_wpn_usage  = 2320
<Sum> [class]Engineer [item_type]smokegrenade_c [stat]player_wpn_usage  = 27704
<Sum> [class]Medic [item_type]smokegrenade_c [stat]player_wpn_usage  = 71554
<Sum> [class]Recon [item_type]pt30_pink01_shop [stat]player_wpn_usage  = 5861
<Sum> [class]Recon [item_type]smg31_shop [stat]player_wpn_usage  = 268
<Sum> [class]Recon [item_type]smg38_rad01_shop [stat]player_wpn_usage  = 358
<Sum> [class]Recon [item_type]sr42_shop [stat]player_wpn_usage  = 103344
<Sum> [class]Recon [item_type]sr14_bra01_shop [stat]player_wpn_usage  = 9276
<Sum> [class]Engineer [item_type]smg31_ec02_shop [stat]player_wpn_usage  = 8665
<Sum> [class]Engineer [item_type]smg06_shop [stat]player_wpn_usage  = 2443
<Sum> [class]Medic [item_type]smg38_shop [stat]player_wpn_usage  = 43
<Sum> [class]Engineer [item_type]smg08_shop [stat]player_wpn_usage  = 35773
<Sum> [class]Medic [item_type]mg24_shop [stat]player_wpn_usage  = 74
<Sum> [class]Medic [item_type]sr34_shop [stat]player_wpn_usage  = 158
<Sum> [class]Recon [item_type]kn17_ec02 [stat]player_wpn_usage  = 379
<Sum> [class]Medic [item_type]sr07_shop [stat]player_wpn_usage  = 1
<Sum> [class]Medic [item_type]shg04_anubis_shop [stat]player_wpn_usage  = 3518
<Sum> [class]Recon [item_type]ar12_shop [stat]player_wpn_usage  = 143
<Sum> [class]Rifleman [item_type]pt15 [stat]player_wpn_usage  = 46
<Sum> [class]Medic [item_type]sr01_shop [stat]player_wpn_usage  = 196
<Sum> [class]Medic [item_type]shg38_shop [stat]player_wpn_usage  = 18416
<Sum> [class]Recon [item_type]sr31_rad01_shop [stat]player_wpn_usage  = 50941
<Sum> [class]Rifleman [item_type]ar20_lava01_shop [stat]player_wpn_usage  = 205
<Sum> [class]Engineer [item_type]kn16_gold01 [stat]player_wpn_usage  = 1119
<Sum> [class]Engineer [item_type]smg38_rad01_shop [stat]player_wpn_usage  = 23881
<Sum> [class]Medic [item_type]shg40_rad01_shop [stat]player_wpn_usage  = 38314
<Sum> [class]Rifleman [item_type]ar27_rad01_shop [stat]player_wpn_usage  = 32679
<Sum> [class]Recon [item_type]shg43_shop [stat]player_wpn_usage  = 239
<Sum> [class]Medic [item_type]sr42_shop [stat]player_wpn_usage  = 163
<Sum> [class]Medic [item_type]shg13_bra04_shop [stat]player_wpn_usage  = 3364
<Sum> [class]Rifleman [item_type]ar04_anubis_shop [stat]player_wpn_usage  = 31376
<Sum> [class]Medic [item_type]smg43_shop [stat]player_wpn_usage  = 12
<Sum> [class]Recon [item_type]smg39_shop [stat]player_wpn_usage  = 156
<Sum> [class]Medic [item_type]sr39_shop [stat]player_wpn_usage  = 183
<Sum> [class]Recon [item_type]sr38_shop [stat]player_wpn_usage  = 126176
<Sum> [class]Recon [item_type]sr37_shop [stat]player_wpn_usage  = 31005
<Sum> [class]Medic [item_type]pt21_zsd02_shop [stat]player_wpn_usage  = 4654
<Sum> [class]Engineer [item_type]smg43_shop [stat]player_wpn_usage  = 968556
<Sum> [class]Recon [item_type]pt07 [stat]player_wpn_usage  = 450
<Sum> [class]Heavy [item_type]smg52_shop [stat]player_wpn_usage  = 1157
<Sum> [class]Recon [item_type]smg06 [stat]player_wpn_usage  = 107
<Sum> [class]Recon [item_type]ar20 [stat]player_wpn_usage  = 326
<Sum> [class]Recon [item_type]ak01_lms [stat]player_wpn_usage  = 20
<Sum> [class]Recon [item_type]shg05 [stat]player_wpn_usage  = 720
<Sum> [class]Recon [item_type]pt08 [stat]player_wpn_usage  = 216
<Sum> [class]Rifleman [item_type]sr41 [stat]player_wpn_usage  = 419
<Sum> [class]Rifleman [item_type]smg41_ww2 [stat]player_wpn_usage  = 701
<Sum> [class]Rifleman [item_type]smg13 [stat]player_wpn_usage  = 78
<Sum> [class]Recon [item_type]sr04_shop [stat]player_wpn_usage  = 7936
<Sum> [class]Heavy [item_type]pt14_shop [stat]player_wpn_usage  = 189
<Sum> [class]Engineer [item_type]pt39_shop [stat]player_wpn_usage  = 2908
<Sum> [class]Heavy [item_type]ak01 [stat]player_wpn_usage  = 24
<Sum> [class]Engineer [item_type]shg04_shop [stat]player_wpn_usage  = 448
<Sum> [class]Engineer [item_type]ar04_default [stat]player_wpn_usage  = 1368
<Sum> [class]Rifleman [item_type]ar13_shop [stat]player_wpn_usage  = 40634
<Sum> [class]Rifleman [item_type]explosivegrenade02_c [stat]player_wpn_usage  = 13501
<Sum> [class]Rifleman [item_type]smokegrenade03_c [stat]player_wpn_usage  = 1206
<Sum> [class]Engineer [item_type]shg37_ec01_shop [stat]player_wpn_usage  = 297
<Sum> [class]Engineer [item_type]sr03_shop [stat]player_wpn_usage  = 98
<Sum> [class]Engineer [item_type]pt26_shop [stat]player_wpn_usage  = 18588
<Sum> [class]Engineer [item_type]smokegrenade04_c [stat]player_wpn_usage  = 19819
<Sum> [class]Engineer [item_type]ak03 [stat]player_wpn_usage  = 433227
<Sum> [class]Engineer [item_type]flashbang [stat]player_wpn_usage  = 74118
<Sum> [class]Medic [item_type]df04_mars_shop [stat]player_wpn_usage  = 12
<Sum> [class]Medic [item_type]ar34_mars01_clean01_shop [stat]player_wpn_usage  = 1536
<Sum> [class]Engineer [item_type]pt66_shop [stat]player_wpn_usage  = 14597
<Sum> [class]Medic [item_type]ar34_mars02_clean02_shop [stat]player_wpn_usage  = 155
<Sum> [class]Engineer [item_type]kn22_swarm02 [stat]player_wpn_usage  = 395
<Sum> [class]Recon [item_type]sr48_shop [stat]player_wpn_usage  = 8108
<Sum> [class]Engineer [item_type]ft02 [stat]player_wpn_usage  = 2833
<Sum> [class]Medic [item_type]shg54_swarm02_shop [stat]player_wpn_usage  = 47410
<Sum> [class]Medic [item_type]shg55_shop [stat]player_wpn_usage  = 37142
<Sum> [class]Recon [item_type]claymoreexplosive05 [stat]player_wpn_usage  = 41
<Sum> [class]Recon [item_type]smokegrenade47_swarm02_c [stat]player_wpn_usage  = 72
<Sum> [class]Rifleman [item_type]mg27_shop [stat]player_wpn_usage  = 7211
<Sum> [class]Medic [item_type]claymoreexplosive05 [stat]player_wpn_usage  = 34
<Sum> [class]Recon [item_type]sr49_xmas06_shop [stat]player_wpn_usage  = 39952
<Sum> [class]Rifleman [item_type]mg25_swarm03_shop [stat]player_wpn_usage  = 12239
<Sum> [class]Rifleman [item_type]ft02 [stat]player_wpn_usage  = 2979
<Sum> [class]Rifleman [item_type]kn45 [stat]player_wpn_usage  = 2320
<Sum> [class]Engineer [item_type]smg53_swarm02_shop [stat]player_wpn_usage  = 7375
<Sum> [class]Engineer [item_type]smg26_shop [stat]player_wpn_usage  = 66104
<Sum> [class]Engineer [item_type]smg02_shop [stat]player_wpn_usage  = 7418
<Sum> [class]Engineer [item_type]shg27_shop [stat]player_wpn_usage  = 424
<Sum> [class]Rifleman [item_type]ar12_ec01_shop [stat]player_wpn_usage  = 4526
<Sum> [class]Rifleman [item_type]explosivegrenade [stat]player_wpn_usage  = 165332
<Sum> [class]Rifleman [item_type]kn01 [stat]player_wpn_usage  = 5980
<Sum> [class]Rifleman [item_type]pt05_shop [stat]player_wpn_usage  = 293
<Sum> [class]Rifleman [item_type]ap01 [stat]player_wpn_usage  = 15738
<Sum> [class]Medic [item_type]shg13_shop [stat]player_wpn_usage  = 11224
<Sum> [class]Medic [item_type]pt02_shop [stat]player_wpn_usage  = 5145
<Sum> [class]Medic [item_type]explosivegrenade [stat]player_wpn_usage  = 594629
<Sum> [class]Medic [item_type]df01 [stat]player_wpn_usage  = 55969
<Sum> [class]Medic [item_type]mk01 [stat]player_wpn_usage  = 100470
<Sum> [class]Medic [item_type]kn01 [stat]player_wpn_usage  = 25366
<Sum> [class]Medic [item_type]arl01 [stat]player_wpn_usage  = 11892
<Sum> [class]Engineer [item_type]smg38_shop [stat]player_wpn_usage  = 5908684
<Sum> [class]Engineer [item_type]ak01 [stat]player_wpn_usage  = 114240
<Sum> [class]Engineer [item_type]pt03_shop [stat]player_wpn_usage  = 65745
<Sum> [class]Engineer [item_type]kn01 [stat]player_wpn_usage  = 15607
<Sum> [class]Engineer [item_type]claymoreexplosive [stat]player_wpn_usage  = 320776
<Sum> [class]Engineer [item_type]arl01 [stat]player_wpn_usage  = 20929
<Sum> [class]Engineer [item_type]explosivegrenade [stat]player_wpn_usage  = 781569
<Sum> [class]Engineer [item_type]smg33_ec01_shop [stat]player_wpn_usage  = 3269
<Sum> [class]Engineer [item_type]pt02_shop [stat]player_wpn_usage  = 5922
<Sum> [class]Engineer [item_type]ar22_shop [stat]player_wpn_usage  = 237
<Sum> [class]Engineer [item_type]smg04_shop [stat]player_wpn_usage  = 5374
<Sum> [class]Engineer [item_type]sr35_shop [stat]player_wpn_usage  = 473
<Sum> [class]Engineer [item_type]ar09_shop [stat]player_wpn_usage  = 148
<Sum> [class]Engineer [item_type]pt27_shop [stat]player_wpn_usage  = 18269
<Sum> [class]Engineer [item_type]smokegrenade03_c [stat]player_wpn_usage  = 14282
<Sum> [class]Engineer [item_type]claymoreexplosive04_c [stat]player_wpn_usage  = 39656
<Sum> [class]Engineer [item_type]arl02 [stat]player_wpn_usage  = 17656
<Sum> [class]Medic [item_type]shg56_shop [stat]player_wpn_usage  = 6542
<Sum> [class]Heavy [item_type]cm01_tutor_shop [stat]player_wpn_usage  = 215
<Sum> [class]Medic [item_type]shg54_shop [stat]player_wpn_usage  = 10975
<Sum> [class]Recon [item_type]sr51_shop [stat]player_wpn_usage  = 10792
<Sum> [class]Engineer [item_type]explosivegrenade04 [stat]player_wpn_usage  = 9587
<Sum> [class]Heavy [item_type]hmg02_swarm03_shop [stat]player_wpn_usage  = 27510
<Sum> [class]Rifleman [item_type]pt39_shop [stat]player_wpn_usage  = 1511
<Sum> [class]Rifleman [item_type]ar37_swarm03_shop [stat]player_wpn_usage  = 24590
<Sum> [class]Medic [item_type]pt21_shop [stat]player_wpn_usage  = 575
<Sum> [class]Engineer [item_type]pt21_shop [stat]player_wpn_usage  = 114
<Sum> [class]Engineer [item_type]df04_mars_shop [stat]player_wpn_usage  = 99
<Sum> [class]Engineer [item_type]ar34_mars01_clean01_shop [stat]player_wpn_usage  = 13059
<Sum> [class]Engineer [item_type]ar34_mars02_clean02_shop [stat]player_wpn_usage  = 2520
<Sum> [class]Engineer [item_type]smg48_xmas06_shop [stat]player_wpn_usage  = 13223
<Sum> [class]Engineer [item_type]smg46_swarm02_shop [stat]player_wpn_usage  = 34112
<Sum> [class]Medic [item_type]shg53_xmas06_shop [stat]player_wpn_usage  = 1857
<Sum> [class]Recon [item_type]sr42_swarm03_shop [stat]player_wpn_usage  = 20614
<Sum> [class]Engineer [item_type]smokegrenade47_swarm02_c [stat]player_wpn_usage  = 954
<Sum> [class]Rifleman [item_type]ar38_xmas06_shop [stat]player_wpn_usage  = 47246
<Sum> [class]Medic [item_type]smokegrenade47_swarm02_c [stat]player_wpn_usage  = 2038
<Sum> [class]Medic [item_type]explosivegrenade04 [stat]player_wpn_usage  = 6385
<Sum> [class]Medic [item_type]pt39_xmas06_shop [stat]player_wpn_usage  = 4100
<Sum> [class]Engineer [item_type]pt39_xmas06_shop [stat]player_wpn_usage  = 5148
<Sum> [class]Medic [item_type]kn45 [stat]player_wpn_usage  = 35538
<Sum> [class]Rifleman [item_type]ar35_joker02_shop [stat]player_wpn_usage  = 25896
<Sum> [class]Recon [item_type]kn45 [stat]player_wpn_usage  = 9086
<Sum> [class]Recon [item_type]sr50_shop [stat]player_wpn_usage  = 5048
<Sum> [class]Engineer [item_type]kn45 [stat]player_wpn_usage  = 19231
<Sum> [class]Engineer [item_type]smg54_shop [stat]player_wpn_usage  = 303078
<Sum> [class]Heavy [item_type]arl02 [stat]player_wpn_usage  = 264
<Sum> [class]Heavy [item_type]ar35_shop [stat]player_wpn_usage  = 1266
<Sum> [class]Heavy [item_type]shg50_shop [stat]player_wpn_usage  = 1255
<Sum> [class]Recon [item_type]explosivegrenade04 [stat]player_wpn_usage  = 2884
<Sum> [class]Engineer [item_type]pt30_pink01_shop [stat]player_wpn_usage  = 7439
<Sum> [class]Rifleman [item_type]mg27_swarm01_shop [stat]player_wpn_usage  = 5973
<Sum> [class]Medic [item_type]pt39_shop [stat]player_wpn_usage  = 483
<Sum> [class]Recon [item_type]pt38_swarm02_shop [stat]player_wpn_usage  = 5080
<Sum> [class]Rifleman [item_type]pt38_swarm02_shop [stat]player_wpn_usage  = 2446
<Sum> [class]Rifleman [item_type]smokegrenade47_swarm02_c [stat]player_wpn_usage  = 34
<Sum> [class]Rifleman [item_type]explosivegrenade04 [stat]player_wpn_usage  = 1848
<Sum> [class]Engineer [item_type]pt38_swarm02_shop [stat]player_wpn_usage  = 3497
<Sum> [class]Engineer [item_type]smg42_xmas05_shop [stat]player_wpn_usage  = 9563
<Sum> [class]Recon [item_type]ar34_mars01_clean01_shop [stat]player_wpn_usage  = 578
<Sum> [class]Recon [item_type]ar34_mars02_clean02_shop [stat]player_wpn_usage  = 601
<Sum> [class]Medic [item_type]shg50_swarm02_shop [stat]player_wpn_usage  = 11806
